,Phonemes,No_Stress,Voicing,Place,Manner,Type,Height,Backness,Rounding
0,"['P', 'AH0']","['P', 'AH']",Voiceless,Bilabial,Plosive,CV,Low,Central,Unrounded
1,"['P', 'AA0']","['P', 'AA']",Voiceless,Bilabial,Plosive,CV,Low,Central,Unrounded
2,"['P', 'AY0']","['P', 'AY']",Voiceless,Bilabial,Plosive,CV,Low-Mid,Front,Unrounded
3,"['P', 'ER0']","['P', 'ER']",Voiceless,Bilabial,Plosive,CV,Low-Mid,Central,Unrounded
4,"['P', 'AO0']","['P', 'AO']",Voiceless,Bilabial,Plosive,CV,Low-Mid,Back,Rounded
5,"['P', 'UW0']","['P', 'UW']",Voiceless,Bilabial,Plosive,CV,High,Back,Rounded
6,"['P', 'IH0']","['P', 'IH']",Voiceless,Bilabial,Plosive,CV,High,Front,Unrounded
7,"['P', 'EH0']","['P', 'EH']",Voiceless,Bilabial,Plosive,CV,Low-Mid,Front,Unrounded
8,"['P', 'UH0']","['P', 'UH']",Voiceless,Bilabial,Plosive,CV,High,Back,Rounded
9,"['P', 'IY0']","['P', 'IY']",Voiceless,Bilabial,Plosive,CV,High,Front,Unrounded
10,"['P', 'AE0']","['P', 'AE']",Voiceless,Bilabial,Plosive,CV,Low,Front,Unrounded
11,"['T', 'AH0']","['T', 'AH']",Voiceless,Alveolar,Plosive,CV,Low,Central,Unrounded
12,"['T', 'AA0']","['T', 'AA']",Voiceless,Alveolar,Plosive,CV,Low,Central,Unrounded
13,"['T', 'AY0']","['T', 'AY']",Voiceless,Alveolar,Plosive,CV,Low-Mid,Front,Unrounded
14,"['T', 'ER0']","['T', 'ER']",Voiceless,Alveolar,Plosive,CV,Low-Mid,Central,Unrounded
15,"['T', 'AO0']","['T', 'AO']",Voiceless,Alveolar,Plosive,CV,Low-Mid,Back,Rounded
16,"['T', 'UW0']","['T', 'UW']",Voiceless,Alveolar,Plosive,CV,High,Back,Rounded
17,"['T', 'IH0']","['T', 'IH']",Voiceless,Alveolar,Plosive,CV,High,Front,Unrounded
18,"['T', 'EH0']","['T', 'EH']",Voiceless,Alveolar,Plosive,CV,Low-Mid,Front,Unrounded
19,"['T', 'UH0']","['T', 'UH']",Voiceless,Alveolar,Plosive,CV,High,Back,Rounded
20,"['T', 'IY0']","['T', 'IY']",Voiceless,Alveolar,Plosive,CV,High,Front,Unrounded
21,"['T', 'AE0']","['T', 'AE']",Voiceless,Alveolar,Plosive,CV,Low,Front,Unrounded
22,"['K', 'AH0']","['K', 'AH']",Voiceless,Velar,Plosive,CV,Low,Central,Unrounded
23,"['K', 'AA0']","['K', 'AA']",Voiceless,Velar,Plosive,CV,Low,Central,Unrounded
24,"['K', 'AY0']","['K', 'AY']",Voiceless,Velar,Plosive,CV,Low-Mid,Front,Unrounded
25,"['K', 'ER0']","['K', 'ER']",Voiceless,Velar,Plosive,CV,Low-Mid,Central,Unrounded
26,"['K', 'AO0']","['K', 'AO']",Voiceless,Velar,Plosive,CV,Low-Mid,Back,Rounded
27,"['K', 'UW0']","['K', 'UW']",Voiceless,Velar,Plosive,CV,High,Back,Rounded
28,"['K', 'IH0']","['K', 'IH']",Voiceless,Velar,Plosive,CV,High,Front,Unrounded
29,"['K', 'EH0']","['K', 'EH']",Voiceless,Velar,Plosive,CV,Low-Mid,Front,Unrounded
30,"['K', 'UH0']","['K', 'UH']",Voiceless,Velar,Plosive,CV,High,Back,Rounded
31,"['K', 'IY0']","['K', 'IY']",Voiceless,Velar,Plosive,CV,High,Front,Unrounded
32,"['K', 'AE0']","['K', 'AE']",Voiceless,Velar,Plosive,CV,Low,Front,Unrounded
33,"['B', 'AH0']","['B', 'AH']",Voiced,Bilabial,Plosive,CV,Low,Central,Unrounded
34,"['B', 'AA0']","['B', 'AA']",Voiced,Bilabial,Plosive,CV,Low,Central,Unrounded
35,"['B', 'AY0']","['B', 'AY']",Voiced,Bilabial,Plosive,CV,Low-Mid,Front,Unrounded
36,"['B', 'ER0']","['B', 'ER']",Voiced,Bilabial,Plosive,CV,Low-Mid,Central,Unrounded
37,"['B', 'AO0']","['B', 'AO']",Voiced,Bilabial,Plosive,CV,Low-Mid,Back,Rounded
38,"['B', 'UW0']","['B', 'UW']",Voiced,Bilabial,Plosive,CV,High,Back,Rounded
39,"['B', 'IH0']","['B', 'IH']",Voiced,Bilabial,Plosive,CV,High,Front,Unrounded
40,"['B', 'EH0']","['B', 'EH']",Voiced,Bilabial,Plosive,CV,Low-Mid,Front,Unrounded
41,"['B', 'UH0']","['B', 'UH']",Voiced,Bilabial,Plosive,CV,High,Back,Rounded
42,"['B', 'IY0']","['B', 'IY']",Voiced,Bilabial,Plosive,CV,High,Front,Unrounded
43,"['B', 'AE0']","['B', 'AE']",Voiced,Bilabial,Plosive,CV,Low,Front,Unrounded
44,"['D', 'AH0']","['D', 'AH']",Voiced,Alveolar,Plosive,CV,Low,Central,Unrounded
45,"['D', 'AA0']","['D', 'AA']",Voiced,Alveolar,Plosive,CV,Low,Central,Unrounded
46,"['D', 'AY0']","['D', 'AY']",Voiced,Alveolar,Plosive,CV,Low-Mid,Front,Unrounded
47,"['D', 'ER0']","['D', 'ER']",Voiced,Alveolar,Plosive,CV,Low-Mid,Central,Unrounded
48,"['D', 'AO0']","['D', 'AO']",Voiced,Alveolar,Plosive,CV,Low-Mid,Back,Rounded
49,"['D', 'UW0']","['D', 'UW']",Voiced,Alveolar,Plosive,CV,High,Back,Rounded
50,"['D', 'IH0']","['D', 'IH']",Voiced,Alveolar,Plosive,CV,High,Front,Unrounded
51,"['D', 'EH0']","['D', 'EH']",Voiced,Alveolar,Plosive,CV,Low-Mid,Front,Unrounded
52,"['D', 'UH0']","['D', 'UH']",Voiced,Alveolar,Plosive,CV,High,Back,Rounded
53,"['D', 'IY0']","['D', 'IY']",Voiced,Alveolar,Plosive,CV,High,Front,Unrounded
54,"['D', 'AE0']","['D', 'AE']",Voiced,Alveolar,Plosive,CV,Low,Front,Unrounded
55,"['G', 'AH0']","['G', 'AH']",Voiced,Velar,Plosive,CV,Low,Central,Unrounded
56,"['G', 'AA0']","['G', 'AA']",Voiced,Velar,Plosive,CV,Low,Central,Unrounded
57,"['G', 'AY0']","['G', 'AY']",Voiced,Velar,Plosive,CV,Low-Mid,Front,Unrounded
58,"['G', 'ER0']","['G', 'ER']",Voiced,Velar,Plosive,CV,Low-Mid,Central,Unrounded
59,"['G', 'AO0']","['G', 'AO']",Voiced,Velar,Plosive,CV,Low-Mid,Back,Rounded
60,"['G', 'UW0']","['G', 'UW']",Voiced,Velar,Plosive,CV,High,Back,Rounded
61,"['G', 'IH0']","['G', 'IH']",Voiced,Velar,Plosive,CV,High,Front,Unrounded
62,"['G', 'EH0']","['G', 'EH']",Voiced,Velar,Plosive,CV,Low-Mid,Front,Unrounded
63,"['G', 'UH0']","['G', 'UH']",Voiced,Velar,Plosive,CV,High,Back,Rounded
64,"['G', 'IY0']","['G', 'IY']",Voiced,Velar,Plosive,CV,High,Front,Unrounded
65,"['G', 'AE0']","['G', 'AE']",Voiced,Velar,Plosive,CV,Low,Front,Unrounded
66,"['F', 'AH0']","['F', 'AH']",Voiceless,Labiodental,Fricative,CV,Low,Central,Unrounded
67,"['F', 'AA0']","['F', 'AA']",Voiceless,Labiodental,Fricative,CV,Low,Central,Unrounded
68,"['F', 'AY0']","['F', 'AY']",Voiceless,Labiodental,Fricative,CV,Low-Mid,Front,Unrounded
69,"['F', 'ER0']","['F', 'ER']",Voiceless,Labiodental,Fricative,CV,Low-Mid,Central,Unrounded
70,"['F', 'AO0']","['F', 'AO']",Voiceless,Labiodental,Fricative,CV,Low-Mid,Back,Rounded
71,"['F', 'UW0']","['F', 'UW']",Voiceless,Labiodental,Fricative,CV,High,Back,Rounded
72,"['F', 'IH0']","['F', 'IH']",Voiceless,Labiodental,Fricative,CV,High,Front,Unrounded
73,"['F', 'EH0']","['F', 'EH']",Voiceless,Labiodental,Fricative,CV,Low-Mid,Front,Unrounded
74,"['F', 'UH0']","['F', 'UH']",Voiceless,Labiodental,Fricative,CV,High,Back,Rounded
75,"['F', 'IY0']","['F', 'IY']",Voiceless,Labiodental,Fricative,CV,High,Front,Unrounded
76,"['F', 'AE0']","['F', 'AE']",Voiceless,Labiodental,Fricative,CV,Low,Front,Unrounded
77,"['TH', 'AH0']","['TH', 'AH']",Voiceless,Dental,Fricative,CV,Low,Central,Unrounded
78,"['TH', 'AA0']","['TH', 'AA']",Voiceless,Dental,Fricative,CV,Low,Central,Unrounded
79,"['TH', 'AY0']","['TH', 'AY']",Voiceless,Dental,Fricative,CV,Low-Mid,Front,Unrounded
80,"['TH', 'ER0']","['TH', 'ER']",Voiceless,Dental,Fricative,CV,Low-Mid,Central,Unrounded
81,"['TH', 'AO0']","['TH', 'AO']",Voiceless,Dental,Fricative,CV,Low-Mid,Back,Rounded
82,"['TH', 'UW0']","['TH', 'UW']",Voiceless,Dental,Fricative,CV,High,Back,Rounded
83,"['TH', 'IH0']","['TH', 'IH']",Voiceless,Dental,Fricative,CV,High,Front,Unrounded
84,"['TH', 'EH0']","['TH', 'EH']",Voiceless,Dental,Fricative,CV,Low-Mid,Front,Unrounded
85,"['TH', 'UH0']","['TH', 'UH']",Voiceless,Dental,Fricative,CV,High,Back,Rounded
86,"['TH', 'IY0']","['TH', 'IY']",Voiceless,Dental,Fricative,CV,High,Front,Unrounded
87,"['TH', 'AE0']","['TH', 'AE']",Voiceless,Dental,Fricative,CV,Low,Front,Unrounded
88,"['S', 'AH0']","['S', 'AH']",Voiceless,Alveolar,Fricative,CV,Low,Central,Unrounded
89,"['S', 'AA0']","['S', 'AA']",Voiceless,Alveolar,Fricative,CV,Low,Central,Unrounded
90,"['S', 'AY0']","['S', 'AY']",Voiceless,Alveolar,Fricative,CV,Low-Mid,Front,Unrounded
91,"['S', 'ER0']","['S', 'ER']",Voiceless,Alveolar,Fricative,CV,Low-Mid,Central,Unrounded
92,"['S', 'AO0']","['S', 'AO']",Voiceless,Alveolar,Fricative,CV,Low-Mid,Back,Rounded
93,"['S', 'UW0']","['S', 'UW']",Voiceless,Alveolar,Fricative,CV,High,Back,Rounded
94,"['S', 'IH0']","['S', 'IH']",Voiceless,Alveolar,Fricative,CV,High,Front,Unrounded
95,"['S', 'EH0']","['S', 'EH']",Voiceless,Alveolar,Fricative,CV,Low-Mid,Front,Unrounded
96,"['S', 'UH0']","['S', 'UH']",Voiceless,Alveolar,Fricative,CV,High,Back,Rounded
97,"['S', 'IY0']","['S', 'IY']",Voiceless,Alveolar,Fricative,CV,High,Front,Unrounded
98,"['S', 'AE0']","['S', 'AE']",Voiceless,Alveolar,Fricative,CV,Low,Front,Unrounded
99,"['SH', 'AH0']","['SH', 'AH']",Voiceless,Postalveolar,Fricative,CV,Low,Central,Unrounded
100,"['SH', 'AA0']","['SH', 'AA']",Voiceless,Postalveolar,Fricative,CV,Low,Central,Unrounded
101,"['SH', 'AY0']","['SH', 'AY']",Voiceless,Postalveolar,Fricative,CV,Low-Mid,Front,Unrounded
102,"['SH', 'ER0']","['SH', 'ER']",Voiceless,Postalveolar,Fricative,CV,Low-Mid,Central,Unrounded
103,"['SH', 'AO0']","['SH', 'AO']",Voiceless,Postalveolar,Fricative,CV,Low-Mid,Back,Rounded
104,"['SH', 'UW0']","['SH', 'UW']",Voiceless,Postalveolar,Fricative,CV,High,Back,Rounded
105,"['SH', 'IH0']","['SH', 'IH']",Voiceless,Postalveolar,Fricative,CV,High,Front,Unrounded
106,"['SH', 'EH0']","['SH', 'EH']",Voiceless,Postalveolar,Fricative,CV,Low-Mid,Front,Unrounded
107,"['SH', 'UH0']","['SH', 'UH']",Voiceless,Postalveolar,Fricative,CV,High,Back,Rounded
108,"['SH', 'IY0']","['SH', 'IY']",Voiceless,Postalveolar,Fricative,CV,High,Front,Unrounded
109,"['SH', 'AE0']","['SH', 'AE']",Voiceless,Postalveolar,Fricative,CV,Low,Front,Unrounded
110,"['Z', 'AH0']","['Z', 'AH']",Voiced,Alveolar,Fricative,CV,Low,Central,Unrounded
111,"['Z', 'AA0']","['Z', 'AA']",Voiced,Alveolar,Fricative,CV,Low,Central,Unrounded
112,"['Z', 'AY0']","['Z', 'AY']",Voiced,Alveolar,Fricative,CV,Low-Mid,Front,Unrounded
113,"['Z', 'ER0']","['Z', 'ER']",Voiced,Alveolar,Fricative,CV,Low-Mid,Central,Unrounded
114,"['Z', 'AO0']","['Z', 'AO']",Voiced,Alveolar,Fricative,CV,Low-Mid,Back,Rounded
115,"['Z', 'UW0']","['Z', 'UW']",Voiced,Alveolar,Fricative,CV,High,Back,Rounded
116,"['Z', 'IH0']","['Z', 'IH']",Voiced,Alveolar,Fricative,CV,High,Front,Unrounded
117,"['Z', 'EH0']","['Z', 'EH']",Voiced,Alveolar,Fricative,CV,Low-Mid,Front,Unrounded
118,"['Z', 'UH0']","['Z', 'UH']",Voiced,Alveolar,Fricative,CV,High,Back,Rounded
119,"['Z', 'IY0']","['Z', 'IY']",Voiced,Alveolar,Fricative,CV,High,Front,Unrounded
120,"['Z', 'AE0']","['Z', 'AE']",Voiced,Alveolar,Fricative,CV,Low,Front,Unrounded
121,"['ZH', 'AH0']","['ZH', 'AH']",Voiced,Postalveolar,Fricative,CV,Low,Central,Unrounded
122,"['ZH', 'AA0']","['ZH', 'AA']",Voiced,Postalveolar,Fricative,CV,Low,Central,Unrounded
123,"['ZH', 'AY0']","['ZH', 'AY']",Voiced,Postalveolar,Fricative,CV,Low-Mid,Front,Unrounded
124,"['ZH', 'ER0']","['ZH', 'ER']",Voiced,Postalveolar,Fricative,CV,Low-Mid,Central,Unrounded
125,"['ZH', 'AO0']","['ZH', 'AO']",Voiced,Postalveolar,Fricative,CV,Low-Mid,Back,Rounded
126,"['ZH', 'UW0']","['ZH', 'UW']",Voiced,Postalveolar,Fricative,CV,High,Back,Rounded
127,"['ZH', 'IH0']","['ZH', 'IH']",Voiced,Postalveolar,Fricative,CV,High,Front,Unrounded
128,"['ZH', 'EH0']","['ZH', 'EH']",Voiced,Postalveolar,Fricative,CV,Low-Mid,Front,Unrounded
129,"['ZH', 'UH0']","['ZH', 'UH']",Voiced,Postalveolar,Fricative,CV,High,Back,Rounded
130,"['ZH', 'IY0']","['ZH', 'IY']",Voiced,Postalveolar,Fricative,CV,High,Front,Unrounded
131,"['ZH', 'AE0']","['ZH', 'AE']",Voiced,Postalveolar,Fricative,CV,Low,Front,Unrounded
132,"['V', 'AH0']","['V', 'AH']",Voiced,Labiodental,Fricative,CV,Low,Central,Unrounded
133,"['V', 'AA0']","['V', 'AA']",Voiced,Labiodental,Fricative,CV,Low,Central,Unrounded
134,"['V', 'AY0']","['V', 'AY']",Voiced,Labiodental,Fricative,CV,Low-Mid,Front,Unrounded
135,"['V', 'ER0']","['V', 'ER']",Voiced,Labiodental,Fricative,CV,Low-Mid,Central,Unrounded
136,"['V', 'AO0']","['V', 'AO']",Voiced,Labiodental,Fricative,CV,Low-Mid,Back,Rounded
137,"['V', 'UW0']","['V', 'UW']",Voiced,Labiodental,Fricative,CV,High,Back,Rounded
138,"['V', 'IH0']","['V', 'IH']",Voiced,Labiodental,Fricative,CV,High,Front,Unrounded
139,"['V', 'EH0']","['V', 'EH']",Voiced,Labiodental,Fricative,CV,Low-Mid,Front,Unrounded
140,"['V', 'UH0']","['V', 'UH']",Voiced,Labiodental,Fricative,CV,High,Back,Rounded
141,"['V', 'IY0']","['V', 'IY']",Voiced,Labiodental,Fricative,CV,High,Front,Unrounded
142,"['V', 'AE0']","['V', 'AE']",Voiced,Labiodental,Fricative,CV,Low,Front,Unrounded
143,"['DH', 'AH0']","['DH', 'AH']",Voiced,Dental,Fricative,CV,Low,Central,Unrounded
144,"['DH', 'AA0']","['DH', 'AA']",Voiced,Dental,Fricative,CV,Low,Central,Unrounded
145,"['DH', 'AY0']","['DH', 'AY']",Voiced,Dental,Fricative,CV,Low-Mid,Front,Unrounded
146,"['DH', 'ER0']","['DH', 'ER']",Voiced,Dental,Fricative,CV,Low-Mid,Central,Unrounded
147,"['DH', 'AO0']","['DH', 'AO']",Voiced,Dental,Fricative,CV,Low-Mid,Back,Rounded
148,"['DH', 'UW0']","['DH', 'UW']",Voiced,Dental,Fricative,CV,High,Back,Rounded
149,"['DH', 'IH0']","['DH', 'IH']",Voiced,Dental,Fricative,CV,High,Front,Unrounded
150,"['DH', 'EH0']","['DH', 'EH']",Voiced,Dental,Fricative,CV,Low-Mid,Front,Unrounded
151,"['DH', 'UH0']","['DH', 'UH']",Voiced,Dental,Fricative,CV,High,Back,Rounded
152,"['DH', 'IY0']","['DH', 'IY']",Voiced,Dental,Fricative,CV,High,Front,Unrounded
153,"['DH', 'AE0']","['DH', 'AE']",Voiced,Dental,Fricative,CV,Low,Front,Unrounded
154,"['HH', 'AH0']","['HH', 'AH']",Voiceless,Glottal,Fricative,CV,Low,Central,Unrounded
155,"['HH', 'AA0']","['HH', 'AA']",Voiceless,Glottal,Fricative,CV,Low,Central,Unrounded
156,"['HH', 'AY0']","['HH', 'AY']",Voiceless,Glottal,Fricative,CV,Low-Mid,Front,Unrounded
157,"['HH', 'ER0']","['HH', 'ER']",Voiceless,Glottal,Fricative,CV,Low-Mid,Central,Unrounded
158,"['HH', 'AO0']","['HH', 'AO']",Voiceless,Glottal,Fricative,CV,Low-Mid,Back,Rounded
159,"['HH', 'UW0']","['HH', 'UW']",Voiceless,Glottal,Fricative,CV,High,Back,Rounded
160,"['HH', 'IH0']","['HH', 'IH']",Voiceless,Glottal,Fricative,CV,High,Front,Unrounded
161,"['HH', 'EH0']","['HH', 'EH']",Voiceless,Glottal,Fricative,CV,Low-Mid,Front,Unrounded
162,"['HH', 'UH0']","['HH', 'UH']",Voiceless,Glottal,Fricative,CV,High,Back,Rounded
163,"['HH', 'IY0']","['HH', 'IY']",Voiceless,Glottal,Fricative,CV,High,Front,Unrounded
164,"['HH', 'AE0']","['HH', 'AE']",Voiceless,Glottal,Fricative,CV,Low,Front,Unrounded
165,"['CH', 'AH0']","['CH', 'AH']",Voiceless,Palatal,Affricate,CV,Low,Central,Unrounded
166,"['CH', 'AA0']","['CH', 'AA']",Voiceless,Palatal,Affricate,CV,Low,Central,Unrounded
167,"['CH', 'AY0']","['CH', 'AY']",Voiceless,Palatal,Affricate,CV,Low-Mid,Front,Unrounded
168,"['CH', 'ER0']","['CH', 'ER']",Voiceless,Palatal,Affricate,CV,Low-Mid,Central,Unrounded
169,"['CH', 'AO0']","['CH', 'AO']",Voiceless,Palatal,Affricate,CV,Low-Mid,Back,Rounded
170,"['CH', 'UW0']","['CH', 'UW']",Voiceless,Palatal,Affricate,CV,High,Back,Rounded
171,"['CH', 'IH0']","['CH', 'IH']",Voiceless,Palatal,Affricate,CV,High,Front,Unrounded
